name,表示/非表示,権限名称
view_groupinterface,表示,権限グループ 参照権限
delete_groupinterface,表示,権限グループ 削除権限
change_groupinterface,表示,権限グループ 更新権限
add_groupinterface,表示,権限グループ 追加権限
view_permissioninterface,表示,権限情報 参照権限
delete_permissioninterface,表示,権限情報 削除権限
change_permissioninterface,表示,権限情報 更新権限
add_permissioninterface,表示,権限情報 追加権限
view_corporationuser,表示,ユーザー 参照権限
delete_corporationuser,表示,ユーザー 削除権限
change_corporationuser,表示,ユーザー 更新権限
add_corporationuser,表示,ユーザー 追加権限
view_userprofile,非表示,-
delete_userprofile,非表示,-
change_userprofile,非表示,-
add_userprofile,非表示,-
view_productlocation,非表示,-
delete_productlocation,非表示,-
change_productlocation,非表示,-
add_productlocation,非表示,-
view_allocationmanage,表示,引当管理 参照権限
delete_allocationmanage,非表示,
change_allocationmanage,表示,引当管理 更新権限
add_allocationmanage,非表示,
view_stock,非表示,-
delete_stock,非表示,-
change_stock,非表示,-
add_stock,非表示,-
view_shortage,非表示,-
delete_shortage,非表示,-
change_shortage,非表示,-
add_shortage,非表示,-
view_shippinginstruction,非表示,-
delete_shippinginstruction,非表示,-
change_shippinginstruction,非表示,-
add_shippinginstruction,非表示,-
view_allocation,非表示,-
delete_allocation,非表示,-
change_allocation,非表示,-
add_allocation,非表示,-
view_shopapisetting,表示,在庫参照/引当API設定 参照権限
delete_shopapisetting,非表示,
change_shopapisetting,非表示,
add_shopapisetting,非表示,
view_shopsaleschannel,表示,販売チャネル情報 参照権限
delete_shopsaleschannel,非表示,-
change_shopsaleschannel,表示,販売チャネル情報 更新権限
add_shopsaleschannel,非表示,-
view_shop,表示,販売チャネル管理 参照権限
delete_shop,表示,販売チャネル管理 削除権限
change_shop,表示,販売チャネル管理 更新権限
add_shop,表示,販売チャネル管理 追加権限
view_locationgroupthresholdmanager,非表示,-
delete_locationgroupthresholdmanager,非表示,-
change_locationgroupthresholdmanager,非表示,-
add_locationgroupthresholdmanager,非表示,-
view_threshold,表示,閾値設定 参照権限
delete_threshold,表示,閾値設定 削除権限
change_threshold,表示,閾値設定 更新権限
add_threshold,表示,閾値設定 追加権限
view_timediffallocation,非表示,-
delete_timediffallocation,非表示,-
change_timediffallocation,非表示,-
add_timediffallocation,非表示,-
view_shoplocation,非表示,-
delete_shoplocation,非表示,-
change_shoplocation,非表示,-
add_shoplocation,非表示,-
view_priority,非表示,-
delete_priority,非表示,-
change_priority,非表示,-
add_priority,非表示,-
view_notallocatablecalendar,非表示,-
delete_notallocatablecalendar,非表示,-
change_notallocatablecalendar,非表示,-
add_notallocatablecalendar,非表示,-
view_locationgroupthreshold,非表示,-
delete_locationgroupthreshold,非表示,-
change_locationgroupthreshold,非表示,-
add_locationgroupthreshold,非表示,-
view_divide,表示,振り分け設定 参照権限
delete_divide,表示,振り分け設定 削除権限
change_divide,表示,振り分け設定 更新権限
add_divide,表示,振り分け設定 追加権限
view_attributethreshold,非表示,-
delete_attributethreshold,非表示,-
change_attributethreshold,非表示,-
add_attributethreshold,非表示,-
view_allocationavailability,表示,引当不可設定 参照権限
delete_allocationavailability,表示,引当不可設定 削除権限
change_allocationavailability,表示,引当不可設定 更新権限
add_allocationavailability,表示,引当不可設定 追加権限
view_product,表示,商品在庫管理 参照権限
delete_product,非表示,
change_product,表示,商品在庫管理 更新権限
add_product,表示,商品在庫管理 追加権限
view_productsku,非表示,-
delete_productsku,非表示,-
change_productsku,非表示,-
add_productsku,非表示,-
view_manualmapping,非表示,-
delete_manualmapping,非表示,-
change_manualmapping,非表示,-
add_manualmapping,非表示,-
view_brand,表示,ブランド情報 参照権限
delete_brand,非表示,-
change_brand,非表示,-
add_brand,非表示,-
view_alertnotificationsetting,表示,アラート通知設定 参照権限
delete_alertnotificationsetting,非表示,-
change_alertnotificationsetting,表示,アラート通知設定 更新権限
add_alertnotificationsetting,非表示,-
view_alertadmin,表示,アラート 参照権限 参照権限
delete_alertadmin,非表示,-
change_alertadmin,非表示,-
add_alertadmin,非表示,-
view_notificationsetting,非表示,-
delete_notificationsetting,非表示,-
change_notificationsetting,非表示,-
add_notificationsetting,非表示,-
view_news,表示,ニュース 参照権限
delete_news,表示,ニュース 削除権限
change_news,表示,ニュース 更新権限
add_news,表示,ニュース 追加権限
view_alert,非表示,-
delete_alert,非表示,-
change_alert,非表示,-
add_alert,非表示,-
view_locationmanage,表示,ロケーション管理 参照権限
delete_locationmanage,表示,ロケーション管理 削除権限
change_locationmanage,表示,ロケーション管理 更新権限
add_locationmanage,表示,ロケーション管理 追加権限
view_locationgroup,非表示,
delete_locationgroup,表示,ロケーション管理内ロケーショングループ 削除権限
change_locationgroup,表示,ロケーション管理内ロケーショングループ 更新権限
add_locationgroup,表示,ロケーション管理内ロケーショングループ 追加権限
view_location,非表示,-
delete_location,非表示,-
change_location,非表示,-
add_location,非表示,-
view_sendstockinterface,表示,在庫データ送信IF 参照権限
delete_sendstockinterface,表示,在庫データ送信IF 削除権限
change_sendstockinterface,表示,在庫データ送信IF 更新権限
add_sendstockinterface,表示,在庫データ送信IF 追加権限
view_receivestockinterface,表示,在庫データ受信IF 参照権限
delete_receivestockinterface,表示,在庫データ受信IF 削除権限
change_receivestockinterface,表示,在庫データ受信IF 更新権限
